url,name,date,country,region,number_of_players
/tournament/860D0B5A-AAC6-4BCC-BAC9-E66CB76DA82B,The ESG Monthly #21: The SSB Event,20 January 2024,,,
/tournament/E7A0135F-6C75-49F6-A244-79B25740E326,Pho Tai Melee: #34 - $50 Pot Bonus!,19 January 2024,,,
/tournament/225F1D13-686F-416F-94A9-D2D3C3B3B930,Prodigious Smash Reloaded #117,19 January 2024,,,
/tournament/ED81956B-DCD6-4506-8BAD-6019554D4135,HoG: Phoenix 5.12,18 January 2024,,,
/tournament/7B936CA8-3B18-4225-8436-474E8B95FC0B,Buffalo Wild Wednesdays v2.1.3,17 January 2024,,,
/tournament/19DA6158-D74E-467A-BADD-042B2C82F4A5,One Up Melee 1.17.24,17 January 2024,,,
/tournament/E7B757BE-2D2C-4882-A5A1-72048AB3EB41,New Game Plus Revival 5.9,16 January 2024,,,
/tournament/2E5152E9-4A7E-4CB8-A959-295AABE60DA4,Free Play Melee #51,15 January 2024,,,
/tournament/511118FB-415D-4DC4-81F8-7F4FDFF90A91,ESG Melee Weekly #55,14 January 2024,,,
/tournament/3E89B60F-DBD4-4ABC-B38F-370C293A015B,The 2nd New England Melee Spartan,13 January 2024,,,
/tournament/07496542-6FB2-4D00-9E02-4666455973F7,Pho Tai Melee: #33 - $50 Pot Bonus!,12 January 2024,,,
/tournament/62F1ED12-E6CD-43EE-9D69-8080A039EBE8,Prodigious Smash Reloaded #116,12 January 2024,,,
/tournament/630D0846-75CB-40CE-AD4E-1BA4A28FD9D4,HoG: Phoenix 5.11,11 January 2024,,,
/tournament/5478A67E-A621-43EB-A791-F3A5355320C7,One Up Melee 1.10.23,10 January 2024,,,
/tournament/C51A8F7C-5C52-4A1B-9067-96C012254EFE,New Game Plus Revival 5.8,09 January 2024,,,
/tournament/47D66071-6092-4556-8926-A6CAE33ED65A,Free Play Melee #50,08 January 2024,,,
/tournament/A7C891F3-1602-4268-BD06-BBAF6A75BC0D,ESG Melee Weekly #54,07 January 2024,,,
/tournament/8810A8CD-C7FF-4FDA-AE19-40054F06DD88,SSS 18.3 - A New Hampshire Melee Monthly!,06 January 2024,,,
/tournament/44C97440-B008-4BC0-B753-0F6DBEA03778,Pho Tai Melee: #32 - $50 Pot Bonus!,05 January 2024,,,
/tournament/66AD6E9A-AF79-48BF-90AE-FF9D5E57FC25,Prodigious Smash Reloaded #115,05 January 2024,,,
/tournament/96A98A6B-D2F9-4ADC-B03E-628494F05A85,HoG: Phoenix 5.10,04 January 2024,,,
/tournament/DC9BC368-EE94-4319-B4CF-F665C77E30CE,Buffalo Wild Wednesdays v2.1.1,03 January 2024,,,
/tournament/5F8DA57C-4DC5-4AC5-8882-932D07D4A797,One Up Melee 1.3.24,03 January 2024,,,
/tournament/47A7FFE9-EC40-4544-8FE7-F8FFFE2FDEC7,Super Smashed Out 14 [NE Only],30 December 2023,/assets/images/country/flag/us.png,/assets/images/country/regions/us/new_york.png,
/tournament/260D84C0-F1A5-41AC-B034-5989E648FA14,Super Smashed Out 14 [NE Only],30 December 2023,/assets/images/country/flag/us.png,/assets/images/country/regions/us/new_york.png,
/tournament/D5C219DD-72C6-4F80-B748-039B5FD599EC,WYATTFEST 2,30 December 2023,,,
/tournament/F0913228-877B-4A36-8531-E2DAA7B077D3,Pho Tai Melee: #31 - $50 Pot Bonus!,29 December 2023,,,
/tournament/623DE2FF-D8DE-4FC3-B15F-C250054037D1,Prodigious Monthly #9: Smash Into the New Year!,29 December 2023,,,
/tournament/4B05E0A1-5B72-4E5F-8716-3D8620A6C698,HoG: Phoenix 5.9,28 December 2023,,,
