encounter_id,winner_url,winner,loser_url,loser,winner_score,loser_score,winner_rating,loser_rating,new_winner_rating,new_loser_rating
183,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,zaubermaus,3,25.0,25.0,29.39583201999916,20.604167980000835
188,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A854A74E-D806-4B95-98CD-DB2510AC8AEB,Twisty,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A854A74E-D806-4B95-98CD-DB2510AC8AEB,Twisty,Twisty,3,25.0,25.0,29.39583201999916,20.604167980000835
190,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/1F8BBA5A-DDAE-419B-AA90-3BF888811659,Gambit,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/1F8BBA5A-DDAE-419B-AA90-3BF888811659,Gambit,1,Gambit,25.0,25.0,29.39583201999916,20.604167980000835
157,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/6D876D0E-946D-4FF3-8E0B-7F8C856DA4F0,Ember,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/6D876D0E-946D-4FF3-8E0B-7F8C856DA4F0,Ember,Ember,3,25.0,25.0,29.39583201999916,20.604167980000835
187,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E9AC8BCC-9BD0-4DE2-B0D8-37AABEEF76F2,HoG | Brub,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E9AC8BCC-9BD0-4DE2-B0D8-37AABEEF76F2,HoG | Brub,1,HoG | Brub,25.0,25.0,29.39583201999916,20.604167980000835
189,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A0E97F94-9634-44FA-AB18-3BA5CA6FB058,Miranda,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A0E97F94-9634-44FA-AB18-3BA5CA6FB058,Miranda,Miranda,3,25.0,25.0,29.39583201999916,20.604167980000835
192,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A0E97F94-9634-44FA-AB18-3BA5CA6FB058,Miranda,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A0E97F94-9634-44FA-AB18-3BA5CA6FB058,Miranda,Miranda,3,25.0,25.0,29.39583201999916,20.604167980000835
158,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/92BBDDE1-A0B2-4F31-83F0-704B6F28CAA1,HoG | Arty,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/92BBDDE1-A0B2-4F31-83F0-704B6F28CAA1,HoG | Arty,HoG | Arty,3,25.0,25.0,29.39583201999916,20.604167980000835
191,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,2,zaubermaus,25.0,25.0,29.39583201999916,20.604167980000835
198,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/CF258595-DA2F-4F35-B902-5F4580CCC9FB,SoCal | Trivago,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/CF258595-DA2F-4F35-B902-5F4580CCC9FB,SoCal | Trivago,SoCal | Trivago,3,25.0,25.0,29.39583201999916,20.604167980000835
206,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4738CE08-9633-4C53-8D0F-45944A712285,BKB | stocmoney,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4738CE08-9633-4C53-8D0F-45944A712285,BKB | stocmoney,BKB | stocmoney,3,25.0,25.0,29.39583201999916,20.604167980000835
204,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A4696039-2BA4-4252-B843-E7AC6E9BCE09,Smosh | Serb,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A4696039-2BA4-4252-B843-E7AC6E9BCE09,Smosh | Serb,Smosh | Serb,3,25.0,25.0,29.39583201999916,20.604167980000835
